"file" "checksum" "built" "date"
"CODE_OF_CONDUCT.md" "c93c83c630db2fe2462240bf72552548" "site/built/CODE_OF_CONDUCT.md" "2025-07-01"
"LICENSE.md" "b24ebbb41b14ca25cf6b8216dda83e5f" "site/built/LICENSE.md" "2025-07-01"
"config.yaml" "9b71898ec8b15f0d034defdc9ea2dd85" "site/built/config.yaml" "2025-07-07"
"index.md" "3a0e215156185ff4cdf09b2b65d5130e" "site/built/index.md" "2025-07-01"
"episodes/introduction.Rmd" "08d2262e06524ec26b6d8f3b7a397448" "site/built/introduction.md" "2025-07-01"
"episodes/experimental-structure.Rmd" "833290e6c341ba0388450a55f5b0585d" "site/built/experimental-structure.md" "2025-07-07"
"episodes/design-principles.Rmd" "5f537046e7048bfc8fa969b1664e3322" "site/built/design-principles.md" "2025-07-07"
"episodes/statistical-data-analysis.Rmd" "553da13fc00adfb1fc94bbad969c4b9f" "site/built/statistical-data-analysis.md" "2025-07-07"
"episodes/complete-random-design.Rmd" "a2c1607316c60cf9bbb94e6ea4c5eb9b" "site/built/complete-random-design.md" "2025-07-07"
"episodes/complete-random-design-multitreatment-factors.Rmd" "d59dea81a2e378753eda8f442dc6b527" "site/built/complete-random-design-multitreatment-factors.md" "2025-07-02"
"episodes/complete-random-block.Rmd" "a8c37cb6e8fe6e4ca675820093d2040b" "site/built/complete-random-block.md" "2025-07-01"
"episodes/repeated-measures-design.Rmd" "283e9c551d51f3c84ef30f33c48ef80c" "site/built/repeated-measures-design.md" "2025-07-01"
"instructors/instructor-notes.md" "a59fd3b94c07c3fe3218c054a0f03277" "site/built/instructor-notes.md" "2025-07-01"
"learners/discuss.md" "2758e2e5abd231d82d25c6453d8abbc6" "site/built/discuss.md" "2025-07-01"
"learners/reference.md" "28853696c21dd22dfb883e9c241e95fb" "site/built/reference.md" "2025-07-01"
"learners/setup.md" "2203aedcf4f641c57b5a18534a846c87" "site/built/setup.md" "2025-07-01"
"profiles/learner-profiles.md" "60b93493cf1da06dfd63255d73854461" "site/built/learner-profiles.md" "2025-07-01"
"renv/profiles/lesson-requirements/renv.lock" "77d15c7466c0bf542defa2987e2f3d26" "site/built/renv.lock" "2025-07-01"
